"Surf.Lat","Surf.Lon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","API.Gravity","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft."
29.24448,-97.49511,3.51,0.37,24.7,0.079,151,0.26,11013,44,5147,4939,798.1372748,525.9906864
29.2312,-97.56615,3.07,0.24,27.5,0.069,136,0.27,9690,37,5167,5186,2467.797917,2055.700926
28.58112,-99.01129,3.48,0.47,27.4,0.075,111,0.26,8403,40,5127,6750,1181.333333,822.3217778
28.37528,-99.57384,3.49,0.49,28.4,0.076,120,0.24,7331,45.20000076,5718,4754,717.2907026,1472.394194
28.48418,-99.01795,3.7,0.59,27.7,0.082,121,0.23,8895,40,5545,4761,2553.245117,2247.031716
28.33379,-99.45831,3.2,0.45,29.6,0.071,98,0.23,8249,51.90000153,7783,7354,747.8923035,1645.967093
28.69552,-98.58184,2.93,0.22,28.3,0.066,93,0.28,9038,35,10170,9879,1554.81324,1567.577083
28.33128,-99.73058,4.61,0.87,27,0.098,130,0.18,7636,57,6330,5699,743.9901737,1572.667486
29.07714,-97.7088,3.83,0.55,25.7,0.084,138,0.26,11225,43.29999924,6728,6076,2095.128374,1059.732719
28.50172,-98.51087,3.4,0.38,29,0.076,145,0.21,10978,40.5,6943,3819,1102.90652,1023.639173
29.35183,-97.35174,3.02,0.24,22.9,0.068,184,0.3,11131,45,5323,5283,749.9526784,656.5008518
29.43312,-97.3004,2.53,0.21,28,0.058,206,0.27,10682,46,4312,3567,754.6958228,671.9175778
28.21131,-99.80503,4.49,0.83,26.9,0.095,125,0.2,7795,67,5316,5558,1219.503418,822.4917236
29.14051,-97.6427,3.66,0.43,25.9,0.08,141,0.27,11282,42,5304,5115,1865.884653,1051.336266
28.55242,-98.82501,3.31,0.35,29.2,0.073,120,0.23,9088,38,5909,5679,1693.960204,1003.332629
28.41078,-99.37703,3.3,0.48,27.9,0.073,119,0.25,8235,47,7730,7003,693.1315151,1477.596316
29.06205,-97.92123,3.06,0.26,27.5,0.068,108,0.29,9281,39,6047,6241,1752.603749,1645.629867
28.82804,-98.60035,2.77,0.22,29.8,0.063,66,0.27,7572,40.79999924,4548,4162,1331.090822,1963.24988
28.34968,-98.62852,3.61,0.43,30.2,0.079,226,0.18,11936,58.09999847,5737,5051,645.4167492,626.5658285
28.55034,-99.27165,3.31,0.37,25.8,0.073,108,0.31,7796,38.40000153,5308,4923,1605.931343,1333.489336
29.17651,-97.70588,3.04,0.25,27.3,0.068,101,0.28,8955,36.20000076,5081,5030,803.77833,658.9137177
28.21128,-99.80508,4.49,0.83,26.9,0.095,125,0.2,7787,59.79999924,5376,5120,1248.046875,833.6042969
29.13258,-97.81738,2.35,0.11,31.3,0.054,106,0.28,8467,38.79999924,5095,4314,1476.587854,1089.15044
28.30785,-99.76283,4.31,0.77,27.7,0.092,138,0.21,7539,50.90000153,4771,4100,701.4634146,1195.175122
28.4496,-98.79127,3.18,0.33,29.9,0.071,135,0.23,9999,43,5614,4693,2117.62199,2043.888131
28.53635,-98.69451,2.87,0.2,29.2,0.064,127,0.27,9959,40,7015,6872,1930.733411,1393.952707
28.96402,-98.16734,3.12,0.27,26.9,0.07,70,0.29,8679,34,7530,7525,1422.192691,1661.2699
28.09944,-99.68912,4.74,0.88,28.1,0.102,64,0.16,8517,57.09999847,5870,5222,864.8027576,434.7983531
30.79942,-96.37139,2.86,0.01,16.1,0.062,554,0.45,7452,33.59999847,6001,4506,1039.059032,971.3595206
28.30939,-99.65173,4.04,0.71,28.8,0.087,113,0.19,7526,53,5854,4790,698.1210856,1460.670772
28.80582,-97.96577,3.11,0.37,30.9,0.071,147,0.22,12074,55,4475,4194,835.0023844,781.0057225
29.09273,-97.75958,3.05,0.3,28.7,0.068,128,0.27,10684,43,3087,2865,1042.931937,546.3598604
28.57839,-99.44538,3.32,0.44,29.3,0.074,126,0.22,7152,40,8642,4743,1161.290323,781.2540586
28.46013,-99.25292,2.8,0.25,29.3,0.062,117,0.3,8035,42,5025,4325,966.4739884,797.6314451
29.08212,-97.83677,3.3,0.33,27.7,0.074,141,0.27,9963,39.40000153,2468,2000,1772,969.943
28.27114,-100.00978,4.35,0.62,25.4,0.093,190,0.22,6058,46.90000153,8743,5626,1225.026662,818.4308567
28.66138,-98.17583,3.88,0.58,27.8,0.086,159,0.22,11686,49.20000076,5080,4496,162.9426157,777.0845196
28.43273,-99.73675,3.59,0.39,26.9,0.078,156,0.26,6491,45.70000076,10446,4776,1249.58124,904.8846315
28.83732,-97.90754,3.24,0.41,30.8,0.073,151,0.21,12481,59,4646,4409,1142.662735,834.5416194
28.5349,-98.79214,2.99,0.27,29.6,0.067,125,0.24,9415,42.68000031,5157,4631,1663.139711,1586.844094
28.58043,-99.31077,3.05,0.32,25.4,0.068,111,0.33,7655,35.20000076,4845,3779,1747.552263,1388.380524
28.08874,-99.64218,4.23,0.68,29.1,0.092,58,0.18,9102,64.40000153,5741,5148,1062.548563,1232.869075
28.76054,-98.31233,2.87,0.25,31,0.065,104,0.26,9581,42.29999924,4578,4418,1274.784971,1357.535989
29.40921,-97.23123,2.48,0.15,24.7,0.057,178,0.32,12065,51,4992,4886,1107.24519,813.5980352
29.26316,-97.40643,3.19,0.34,24.3,0.071,173,0.26,11853,42.40000153,3032,3095,1654.927302,3779.402908
28.43534,-99.1745,2.95,0.31,29.8,0.066,125,0.27,8885,46,5493,4974,2022.114998,1789.873542
29.3258,-97.35241,2.87,0.23,23.8,0.064,187,0.3,11307,43,5994,6069,3438.128192,3330.449827
28.29363,-99.67892,4.03,0.68,28.3,0.086,114,0.2,7726,58,5651,5011,675.7134305,911.5282379
28.8316,-97.93535,3.06,0.36,31.2,0.069,146,0.23,12266,45,5768,5175,827.4396135,766.5994203
28.40449,-99.75772,3.66,0.43,27.5,0.078,157,0.25,6693,51,8487,4325,1184.739884,822.3428902
28.51991,-98.65562,2.75,0.19,30.7,0.062,130,0.25,10371,41.29999924,6085,6205,1299.274778,933.5419823
28.57824,-98.32573,4.19,0.72,26.5,0.092,152,0.21,11496,51,7515,6548,994.1967013,922.9809102
28.69732,-98.0952,3.81,0.53,27.3,0.086,147,0.21,11757,63,4547,4425,1519.548023,844.4320904
28.58826,-99.27492,3.01,0.29,26.2,0.067,110,0.32,7672,38.09999847,8163,7234,1187.724634,904.947885
28.66782,-99.67956,2.58,0.17,30.2,0.058,162,0.26,6277,35.90000153,5925,5359,1192.759843,815.4855383
28.19043,-99.95807,4.07,0.57,27.1,0.088,165,0.22,6568,51.90000153,5375,4503,752.3872974,1543.7495
28.76043,-98.47198,2.93,0.24,28.8,0.066,87,0.27,9029,33,6883,6449,1788.804466,1666.444255
28.78678,-99.48971,3.33,0.44,29.4,0.075,119,0.22,6339,34,8028,7391,1194.696252,553.4138817
30.45379,-96.73782,2.47,0.03,19,0.053,240,0.4,7544,34.90000153,6698,6300,782.2222222,755.4888889
28.70281,-98.23228,3.7,0.51,27.9,0.083,136,0.21,10991,44,4402,3867,909.4853892,766.1719679
28.37654,-99.08989,3.38,0.43,28.3,0.075,135,0.24,9830,49,5560,4943,2010.115315,1681.080518
28.14397,-99.6635,4.15,0.73,30.9,0.09,70,0.17,8448,58.40000153,5937,5307,674.5807424,1037.622386
28.61178,-98.82269,3,0.3,29,0.068,108,0.24,8695,38.45000076,6114,5859,1244.239631,887.2614781
28.46063,-99.69027,3.66,0.44,26.8,0.081,154,0.25,6479,43,10190,4096,1267.089844,884.4130859
28.07999,-99.72606,4.98,1.01,27.1,0.106,67,0.16,8410,60.79999924,6696,5946,1127.81702,774.6298352
28.54597,-99.22075,3.16,0.35,27.1,0.07,111,0.29,8161,39.5,5505,4741,1174.013921,793.8742881
28.2119,-99.9124,4.21,0.68,27.6,0.091,156,0.21,7163,51,5144,8279,1200.86967,838.9634014
29.23951,-97.37035,3.56,0.41,22.2,0.078,187,0.26,12697,53.90000153,6396,6279,1231.406275,808.1718427
29.13888,-97.64952,3.58,0.41,25.9,0.079,137,0.27,11279,44,5831,5791,1056.466931,713.7957175
28.67151,-98.78283,2.98,0.27,28.1,0.067,102,0.26,8383,27.70000076,10303,8946,1800.804829,1332.926895
28.35117,-98.61734,3.53,0.41,30.7,0.078,229,0.18,12100,64.69999695,5929,5660,584.4522968,582.5830389
28.52262,-98.93392,3.42,0.44,28.4,0.076,118,0.22,9057,40.70000076,6320,5567,809.0533501,753.6992994
28.16289,-99.71536,4.38,0.82,29.3,0.094,81,0.18,8243,58.79999924,6614,5751,735.176491,1601.944705
28.6139,-98.15342,3.5,0.46,28.6,0.078,179,0.23,12656,57,5371,5170,56.85222437,823.9450677
28.50538,-98.62619,2.72,0.18,30.6,0.062,134,0.25,10439,45,7953,4227,1296.900875,762.5422285
28.54213,-98.18042,3.35,0.42,28.2,0.075,195,0.24,12837,60.20000076,5255,5164,1040.66615,726.4664988
28.08433,-99.85689,4.54,0.88,27.6,0.097,112,0.17,7841,56.59999847,8628,8935,1206.491326,838.4971461
29.3171,-97.6622,2.56,0.11,28.6,0.058,84,0.3,6891,24,5374,3651,682.8466174,480.1514654
28.07243,-99.73952,5.15,1.09,26.8,0.11,71,0.16,8342,59.5,7531,6716,1567.599762,1744.803454
28.45425,-98.59661,2.92,0.28,31.7,0.067,151,0.21,11032,45,4764,4474,683.0576665,532.9700492
28.31574,-99.87304,4.5,0.78,27.1,0.096,178,0.21,7095,51,6496,5498,689.7053474,1019.716806
28.42249,-99.64018,3.74,0.53,27,0.083,139,0.23,6788,39,5260,4718,1189.910979,1353.61064
28.28536,-99.73997,4.31,0.77,27.7,0.092,126,0.19,7707,55.59999847,5296,4243,1312.279048,1628.592505
28.36389,-99.70792,4.31,0.76,27.3,0.093,128,0.19,7207,51.90000153,5525,4699,695.8927431,1469.570973
29.15667,-97.45238,3.91,0.54,22.4,0.085,168,0.26,12916,54.5,6417,5750,1021.565217,604.149913
28.77087,-97.97647,3.63,0.52,28.4,0.081,155,0.22,12345,23.70000076,6521,5699,839.094578,644.7752237
28.6953,-98.89451,2.79,0.22,28.9,0.063,106,0.27,8209,34,10498,9864,1423.560422,1535.497161
28.30932,-99.65184,4.04,0.71,28.8,0.087,113,0.19,7541,53,5220,4783,703.3242735,1469.981183
28.59709,-98.59287,2.79,0.16,29.4,0.063,116,0.28,9846,40,5719,5492,1821.922797,1058.373999
28.81941,-97.97155,3,0.34,31.2,0.069,141,0.22,12044,51,5872,5143,715.9245577,736.8415322
28.36249,-99.07858,3.55,0.48,28.1,0.079,136,0.23,9947,44.5,4657,4741,989.2427758,849.1299304
29.21524,-97.55206,3.54,0.38,26.4,0.079,150,0.25,10578,44,4823,4877,2288.291983,2024.56018
29.29964,-97.38277,2.81,0.23,24.7,0.063,179,0.3,11449,43,4008,3973,1562.043796,891.4505412
28.49096,-98.69946,2.8,0.21,29.4,0.063,139,0.26,10381,44,5680,7294,1206.471072,829.1746641
30.35839,-96.66599,2.49,0.02,19.1,0.055,309,0.41,8935,46.5,7143,7095,1323.46723,1172.836364
28.29635,-100.00386,4.22,0.59,25.8,0.09,192,0.23,5976,46.09999847,5681,4618,741.0134257,1548.597661
28.65402,-98.55283,2.63,0.15,29.9,0.06,104,0.28,9502,39.59999847,7866,7278,1569.936796,1371.664468
28.47619,-99.20692,3.11,0.38,28.6,0.07,118,0.26,8470,43,5212,4766,1650.86026,1369.723458
29.06596,-98.02785,2.13,0.07,30.6,0.048,53,0.32,7752,32.11999893,9204,9414,907.7968982,644.9632462
28.87264,-99.26222,3.53,0.61,30.1,0.077,84,0.21,5999,41.29999924,5459,4788,1238.512949,1346.491228
